study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Doig1993	all	12.0	placebo	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	16.0	8.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	12.0	placebo	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	25.0	10.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
Doig1993	all	4.0	LOS5	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	13.0	1.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	4.0	LOS5	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	25.0	11.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
Doig1993	all	8.0	LOS10	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	13.0	5.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	8.0	LOS10	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	26.0	16.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
Doig1993	all	7.0	LOS25	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	16.0	6.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	7.0	LOS25	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	25.0	9.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
Doig1993	all	8.0	LOS50	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	15.0	4.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	8.0	LOS50	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	29.0	9.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
Doig1993	all	8.0	LOS100	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	13.0	6.0	NA	NA	NA	NA	NA	1/min	supine, maximal change
Doig1993	all	8.0	LOS100	heart rate (change)	NA	NA	sphygmomanometer	NA	NA	28.0	7.0	NA	NA	NA	NA	NA	1/min	erect, maximal change
