study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	1.459854	7.77423675975381	2.0072993	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	1.459854	7.77423675975381	2.0072993	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	3.649635	4.94724048291166	1.277372	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	4.5620437	5.65399139178929	1.4598543	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	36.31387	19.7889696776133	5.10949	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	66.60584	19.7889696776133	5.10948999999999	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	64.41606	14.8417369406684	3.83212	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	38.138687	8.48099309080816	2.18978300000001	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	19.343065	3.53374486192976	0.912409	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	8.576642	5.65399022989428	1.459854	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	4.7445254	4.94724280670167	1.2773726	LC/MS	ng/ml
Kim2016	ohome5_ginseng	15.0	all	concentration	plasma	5-hydroxyomeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	2.7372262	5.65398945529761	1.4598538	LC/MS	ng/ml
