study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	3.1988301	28.0545547933738	7.2436549	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	2.1893134	32.0690751540733	8.2801996	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	16.727976	16.0162191404058	4.13537	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	30.22604	28.0807171831757	7.25041	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	328.40244	188.452165877429	48.65814	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	456.85703	80.1647521423069	20.69845	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	349.28064	104.251881277874	26.91772	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	184.774	84.1793704894851	21.73502	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	113.426704	68.1526788021112	17.596946	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	57.699223	44.0916961771141	11.384427	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	24.744648	48.1167018656268	12.423679	LC/MS	ng/ml
Kim2016	omeprazole_ginseng	15.0	all	concentration	plasma	omeprazole	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	18.710522	40.0928834749717	10.351938	LC/MS	ng/ml
