study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.125	hr	0.6147541	4.28567838182258	1.1065574	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.25	hr	4.057377	6.19042553422743	1.598361	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.5	hr	54.590164	12.8570343708711	3.319672	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.0	hr	39.836067	5.71422673987785	1.475407	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.5	hr	28.647541	5.71424223181123	1.475411	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	2.0	hr	22.622952	6.19042166124409	1.59836	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	3.0	hr	7.008197	9.52372801605758	2.459016	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	4.0	hr	0.73770493	6.66661026964747	1.72131137	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	5.0	hr	0.0	3.8094919810197	0.9836066	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	6.0	hr	0.12295082	2.85711871465594	0.73770488	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	8.0	hr	0.12295082	2.85711871465594	0.73770488	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	10.0	hr	0.12295082	2.85711871465594	0.73770488	LC/MS	ng/ml
Kim2016	ohmid1_control	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	12.0	hr	0.0			LC/MS	ng/ml
