study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	6.316198	3.42576414974583	0.8845285	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	40.05674	9.85324918511964	2.54409800000001	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	35.083836	2.99844046873371	0.774194000000001	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	32.54413	2.99897494043546	0.774331999999994	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	26.796463	2.57166094188173	0.664000000000002	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	15.633419	2.56945721435773	0.663430999999999	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	10.553719	2.56836116007076	0.663148000000001	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	6.469875	2.57165513240671	0.6639985	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	5.4837923	2.99843388466202	0.7741923	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	2.9581063	4.28316365373589	1.1059081	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	2.423282	2.14103244418028	0.5528122	LC/MS	ng/ml
Kim2016	midazolam_ginseng	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	1.5567416	2.57000756529123	0.6635731	LC/MS	ng/ml
