study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
FDA1995S67	all	9.0	E10IV	concentration	exp3174	plasma	HPLC/UV	20.0	min	2405.8	550.4	NA	NA	NA	NA	NA	ng/ml	NA
FDA1995S67	all	9.0	E10IV	auc_inf	exp3174	plasma	HPLC/UV	NA	NA	5626.59	1764.97	NA	NA	NA	NA	NA	ng/ml*hr	NA
FDA1995S67	all	9.0	E10IV	kel	exp3174	plasma	HPLC/UV	NA	NA	0.1368	0.0581	NA	NA	NA	NA	NA	1/hr	NA
FDA1995S67	all	9.0	E10IV	thalf	exp3174	plasma	HPLC/UV	NA	NA	5.07	2.4	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	E10IV	vd_ss	exp3174	plasma	HPLC/UV	NA	NA	8.57	2.53	NA	NA	NA	NA	NA	l	NA
FDA1995S67	all	9.0	E10IV	oral clearance	exp3174	plasma	HPLC/UV	NA	NA	33.18	13.17	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	E10IV	clearance_renal	exp3174	plasma	HPLC/UV	NA	NA	19.08	7.8	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	E10IV	recovery	exp3174	urine	HPLC/UV	48.0	hr	59.05	13.89	NA	NA	NA	NA	NA	percent	NA
FDA1995S67	all	9.0	LOS10IV	concentration	losartan	plasma	HPLC/UV	20.0	min	1056.1	249.5	NA	NA	NA	NA	NA	ng/ml	NA
FDA1995S67	all	9.0	LOS10IV	auc_inf	losartan	plasma	HPLC/UV	NA	NA	653.72	230.44	NA	NA	NA	NA	NA	ng/ml*hr	NA
FDA1995S67	all	9.0	LOS10IV	kel	losartan	plasma	HPLC/UV	NA	NA	0.3889	0.1542	NA	NA	NA	NA	NA	1/hr	NA
FDA1995S67	all	9.0	LOS10IV	thalf	losartan	plasma	HPLC/UV	NA	NA	1.78	0.74	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS10IV	vd_ss	losartan	plasma	HPLC/UV	NA	NA	19.65	9.77	NA	NA	NA	NA	NA	l	NA
FDA1995S67	all	9.0	LOS10IV	oral clearance	losartan	plasma	HPLC/UV	NA	NA	285.04	97.46	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	LOS10IV	clearance_renal	losartan	plasma	HPLC/UV	NA	NA	44.27	17.01	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	LOS10IV	recovery	losartan	urine	HPLC/UV	48.0	hr	19.69	9.98	NA	NA	NA	NA	NA	percent	NA
FDA1995S67	all	9.0	LOS10IV	cmax	exp3174	plasma	HPLC/UV	NA	NA	50.3	26.5	NA	NA	NA	NA	NA	ng/ml	NA
FDA1995S67	all	9.0	LOS10IV	tmax	exp3174	plasma	HPLC/UV	NA	NA	4.9	1.8	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS10IV	auc_inf	exp3174	plasma	HPLC/UV	NA	NA	623.27	288.73	NA	NA	NA	NA	NA	ng/ml*hr	NA
FDA1995S67	all	9.0	LOS10IV	kel	exp3174	plasma	HPLC/UV	NA	NA	0.1187	0.0376	NA	NA	NA	NA	NA	1/hr	NA
FDA1995S67	all	9.0	LOS10IV	thalf	exp3174	plasma	HPLC/UV	NA	NA	5.84	1.91	NA	NA	NA	NA	NA	hr	NA
FDA1995S67	all	9.0	LOS10IV	clearance_renal	exp3174	plasma	HPLC/UV	NA	NA	23.43	12.23	NA	NA	NA	NA	NA	ml/min	NA
FDA1995S67	all	9.0	LOS10IV	recovery	exp3174	urine	HPLC/UV	48.0	hr	8.14	2.97	NA	NA	NA	NA	NA	percent	NA
