study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Huang2021	cyp2c9_1_3	5.0	LOS50	cmax	losartan	plasma	HPLC	NA	NA	281.6	81.6	NA	NA	NA	NA	NA	mg/ml	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	auc_end	losartan	plasma	HPLC	36.0	hr	833.6	379.8	NA	NA	NA	NA	NA	mg/ml*hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	auc_inf	losartan	plasma	HPLC	NA	NA	834.0	379.8	NA	NA	NA	NA	NA	mg/ml*hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	tmax	losartan	plasma	HPLC	NA	NA	1.77	1.03	NA	NA	NA	NA	NA	hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	thalf	losartan	plasma	HPLC	NA	NA	2.55	1.2	NA	NA	NA	NA	NA	hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	oral clearance	losartan	plasma	HPLC	NA	NA	71.03	33.75	NA	NA	NA	NA	NA	l/hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	cmax	exp3174	plasma	HPLC	NA	NA	239.4	77.03	NA	NA	NA	NA	NA	mg/ml	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	auc_end	exp3174	plasma	HPLC	36.0	hr	1927.0	949.5	NA	NA	NA	NA	NA	mg/ml*hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	auc_inf	exp3174	plasma	HPLC	NA	NA	1966.0	966.1	NA	NA	NA	NA	NA	mg/ml*hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	tmax	exp3174	plasma	HPLC	NA	NA	3.6	0.55	NA	NA	NA	NA	NA	hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	thalf	exp3174	plasma	HPLC	NA	NA	6.29	3.93	NA	NA	NA	NA	NA	hr	NA
Huang2021	cyp2c9_1_3	5.0	LOS50	oral clearance	exp3174	plasma	HPLC	NA	NA	29.67	11.35	NA	NA	NA	NA	NA	l/hr	NA
