study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.25	hr	11.736112	10.2816786028771	2.654718	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.5	hr	50.12379	8.56688424247696	2.21196	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.0	hr	32.650074	3.42795432182812	0.885094000000002	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.5	hr	25.574978	5.56953982803023	1.438049	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	2.0	hr	20.712694	3.42630830390598	0.884669000000002	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	3.0	hr	11.982986	3.8552876852986	0.995431	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	4.0	hr	7.5671434	3.85638606337558	0.9957146	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	5.0	hr	5.253064	4.28206837404558	1.1056253	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	6.0	hr	4.3777423	2.99788740671187	0.7740512	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	8.0	hr	2.2943914	3.85528613610526	0.9954306	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	10.0	hr	1.7597085	3.42466654626551	0.8842451	LC/MS	ng/ml
Kim2016	midazolam_control	15.0	all	concentration	plasma	midazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	12.0	hr	1.5565999	3.42576376244749	0.8845284	LC/MS	ng/ml
