study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	0.078774616	0.91527831212372	0.236323844	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	1.02407	1.11867367161355	0.2888403	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	6.905908	2.54243928253459	0.656455	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	11.763676	2.44074248582987	0.630196999999999	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	11.448578	1.93225462932296	0.498906	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	9.689278	1.22036930642327	0.315098000000001	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	7.9824944	1.4237652236227	0.3676146	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	6.2231946	1.11867405891189	0.2888404	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	5.225383	0.915277367115783	0.2363236	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	2.7833698	1.01697571301384	0.262582	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	1.7592998	0.813580957709403	0.2100657	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	1.2341356	0.610185815106636	0.1575493	LC/MS	ng/ml
Kim2016	dextrorphan_ginseng	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	24.0	hr	0.4201313	0.406790285205534	0.1050328	LC/MS	ng/ml
