study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.0	hr	0.0			LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.25	hr	8.746963309065027e-05	7.073185899909744e-05	1.826288746331971e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.5	hr	0.0002662537034978991	0.0001042364970514704	2.691374780982287e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.0	hr	0.00027586575898948	0.00010423646041980701	2.691373835156806e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.5	hr	0.00041812407338659907	0.00013401822252452123	3.460335626171937e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	2.0	hr	0.0003988999813199467	0.00012285005257733753	3.171974718084893e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	3.0	hr	0.00022299950817074985	6.328637268333976e-05	1.6340471162963387e-05	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	4.0	hr	0.00013264625417641062	3.3504564789046155e-05	8.650841429993544e-06	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	5.0	hr	9.996529766310168e-05	3.722730336796701e-05	9.612048397889863e-06	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	6.0	hr	5.574987645154654e-05	3.350457394696189e-05	8.650843794557247e-06	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	8.0	hr	2.1146504820163103e-05	2.6059110525993884e-05	6.728433405610163e-06	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	10.0	hr	1.0573252291853369e-05	2.2336379273405513e-05	5.767228329364806e-06	LC/MS	mole/meter^3
Kim2016	losartan_control	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	12.0	hr	5.767228565821178e-06	2.2336382020780282e-05	5.767229038733919e-06	LC/MS	mole/meter^3
