study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	8.84308353294192e-05	7.817734531485513e-05	2.0185303763676048e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	0.00026337009441702863	0.0001042364970514704	2.691374780982287e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	0.0002739433592410697	0.00010051371268297019	2.595252901910804e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	0.0004123568315792212	0.0001451864840508634	3.748698898822683e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	0.0003960163722390763	0.00012284996099817905	3.17197235352119e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	0.00022299950817074985	5.584089552549779e-05	1.4418057227170729e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	0.0001278402311597476	4.467277136789325e-05	1.1534459969118776e-05	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	9.708167912397644e-05	2.60591242628676e-05	6.728436952455717e-06	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	5.478867184821393e-05	3.722730336796701e-05	9.612048397889863e-06	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	1.9224094431216025e-05	3.350457394696189e-05	8.650843794557247e-06	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	9.612047452064382e-06	3.350456845221241e-05	8.650842375819025e-06	LC/MS	mole/meter^3
Kim2016	losartan_ginseng	15.0	all	concentration	plasma	losartan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	5.767228565821178e-06	2.6059111441785385e-05	6.728433642066534e-06	LC/MS	mole/meter^3
