study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0	3.33330519291849	0.8606557	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.125	hr	0.36885247	2.85711890830511	0.73770493	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	0.4918033	9.52372956525092	2.4590164	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	36.393444	17.6188945059165	4.549179	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	31.59836	6.66660496366029	1.72131	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	28.52459	5.71423835882789	1.47541	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	25.450819	3.8094896572297	0.983606000000002	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	10.5737705	2.85712111590562	0.737705500000001	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	3.442623	1.90474599050985	0.4918033	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	0.12295082	2.85711871465594	0.73770488	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	0.24590164	1.90474595178002	0.49180329	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	0.0	3.33330519291849	0.8606557	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	0.0	2.85711890830511	0.73770493	LC/MS	ng/ml
Kim2016	ohmid1_ginseng	15.0	all	concentration	plasma	1-hydroxymidazolam	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	0.0	2.38093239131273	0.6147541	LC/MS	ng/ml
