study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	293.10345	111.292616432778	28.73563	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	517.2414	166.938944014084	43.10345	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	735.6322	222.585194135723	57.4712499999999	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	827.5862	244.843810373879	63.2184000000001	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	931.0345	200.326577897567	51.7241	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	1089.0804	300.490060495518	77.5862	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	1206.8966	244.843810373879	63.2184	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	1316.0919	200.326577897567	51.7241000000001	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	1408.046	111.292500243278	28.7356	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	1321.8391	189.19756025224	48.8506	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	1146.5518	189.197172953905	48.8505	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	1192.5287	166.939137663251	43.1034999999999	LC/MS	ng/ml
Kim2016	paraxanthine_ginseng	15.0	all	concentration	plasma	paraxanthine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	24.0	hr	701.1494	155.80984890909	40.22993	LC/MS	ng/ml
