study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.25	hr	2714.8726	978.508855120969	252.6499	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	0.5	hr	5784.2505	929.653493998571	240.0355	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.0	hr	5632.392	831.810703021667	214.7726	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	1.5	hr	5316.34	782.888726585713	202.141	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	2.0	hr	4974.9897	538.278844405945	138.983	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	3.0	hr	4545.0264	782.887177392379	202.140600000001	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	4.0	hr	4190.8003	684.97467271524	176.8597	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	5.0	hr	3748.1702	684.976221908578	176.8601	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	6.0	hr	3393.979	684.841054789796	176.8252	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	8.0	hr	2685.5269	538.277295212607	138.9826	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	10.0	hr	2002.4252	342.251665321003	88.3689999999999	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	12.0	hr	1736.062	391.443975994522	101.0704	LC/MS	ng/ml
Kim2016	caffeine_ginseng	15.0	all	concentration	plasma	caffeine	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg,ginseng	24.0	hr	618.1466	342.65693429835	88.4736399999999	LC/MS	ng/ml
