study	label	count	group	measurement	tissue	substance	intervention	time	time_unit	mean	mean_sd	mean_se	method	mean_unit
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.0	hr	0.0			LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.25	hr	0.13129103	1.11867355542405	0.28884027	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	0.5	hr	1.6280087	1.32206920151466	0.3413568	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.0	hr	9.190372	1.83055783261824	0.472648	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	1.5	hr	11.369803	2.64413607923931	0.682713000000001	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	2.0	hr	10.949672	2.03395142602767	0.525164	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	3.0	hr	8.665208	1.01697571301384	0.262582	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	4.0	hr	6.354486	1.32206726502298	0.3413563	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	5.0	hr	4.306346	1.22036930642327	0.315098000000001	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	6.0	hr	3.728665	0.915278916309121	0.236324	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	8.0	hr	2.5207877	0.610185815106636	0.1575493	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	10.0	hr	1.7067834	0.813580570411069	0.2100656	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	12.0	hr	0.9452954	0.915278529010787	0.2363239	LC/MS	ng/ml
Kim2016	dextrorphan_control	15.0	all	concentration	plasma	dextrorphan	caffeine200mg, losartan50mg, omeprazole20mg, dex15mg, midazolam7.5mg, fexofenadine30mg	24.0	hr	0.36761487	0.711883115299186	0.18380743	LC/MS	ng/ml
