study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	sd	median	min	max	se	cv	unit	comments
FDA1995S60	NA	all	6.0	LOS30IV	recovery	losartan and metabolites	urine	RIA	96.0	hr	NA	43.3	8.4	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	losartan	urine	RIA	96.0	hr	NA	11.4	4.0	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	 L-158,795	urine	RIA	96.0	hr	NA	9.35	1.73	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	exp3174	urine	RIA	96.0	hr	NA	6.44	2.45	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	 L-158,796	urine	RIA	96.0	hr	NA	8.24	1.76	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	 L-158,783	urine	RIA	96.0	hr	NA	0.267	0.109	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	 L-158	urine	RIA	96.0	hr	NA	17.857	2.47029977937901	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS30IV	recovery	losartan and metabolites	feces	RIA	96.0	hr	NA	49.5	13.3	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	2.0	LOS30IV	recovery	losartan	feces	RIA	96.0	hr	NA	10.285	3.55674710936833	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	2.0	LOS30IV	recovery	 L-158,795	feces	RIA	96.0	hr	NA	8.29	0.12727922061358	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	2.0	LOS30IV	recovery	exp3174	feces	RIA	96.0	hr	NA	10.15	4.5679098064651	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	2.0	LOS30IV	recovery	 L-158,796	feces	RIA	96.0	hr	NA	8.405	1.46371103705615	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	2.0	LOS30IV	recovery	 L-158,783	feces	RIA	96.0	hr	NA	1.052	0.364867099092258	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	2.0	LOS30IV	recovery	 L-158	feces	RIA	96.0	hr	NA	17.747	1.5138619487919	NA	NA	NA	NA	NA	percent	radioactivity, mean of 2 subjects
FDA1995S60	NA	all	6.0	LOS100PO	recovery	losartan and metabolites	urine	RIA	96.0	hr	NA	35.2	6.2	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	losartan	urine	RIA	96.0	hr	NA	4.91	2.27	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	 L-158,795	urine	RIA	96.0	hr	NA	9.09	1.79	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	exp3174	urine	RIA	96.0	hr	NA	6.41	2.22	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	 L-158,796	urine	RIA	96.0	hr	NA	7.64	1.8	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	 L-158	urine	RIA	96.0	hr	NA	16.73	2.53852319272446	NA	NA	NA	NA	NA	percent	radioactivity
FDA1995S60	NA	all	6.0	LOS100PO	recovery	losartan and metabolites	feces	RIA	96.0	hr	NA	57.7	7.9	NA	NA	NA	NA	NA	percent	radioactivity
