study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	0.0	hr	70.0	3.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	6.0	hr	59.0	3.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	24.0	hr	59.0	1.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	30.0	hr	60.0	9.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	48.0	hr	62.0	5.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	54.0	hr	60.0	1.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	72.0	hr	64.0	1.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	78.0	hr	63.0	3.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	96.0	hr	61.0	9.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	102.0	hr	61.0	5.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	120.0	hr	61.0	5.0						91 in table, likely typo, fixed to 61	mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	126.0	hr	60.0	4.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	144.0	hr	64.0	5.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	150.0	hr	61.0	10.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	168.0	hr	61.0	4.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	174.0	hr	57.0	5.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure diastolic	dbp_0_multi			sphygmomanometer	192.0	hr	63.0	3.0							mmHg	mmHg
