study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	0.0	hr	58.0	10.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	0.5	hr	57.0	9.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	1.0	hr	56.0	7.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	2.0	hr	56.0	7.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	3.0	hr	54.0	8.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	4.0	hr	55.0	8.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	6.0	hr	63.0	9.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	8.0	hr	58.0	6.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	10.0	hr	58.0	8.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	12.0	hr	63.0	8.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	14.0	hr	63.0	6.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	24.0	hr	56.0	8.0							1/s	1/s
Ohtawa1993	single_dose_50	6.0	LOS50	heart rate	hr_50			NR	30.0	hr	66.0	8.0							1/s	1/s
