study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	min	max	median	se	cv	unit	comments
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	675.0	417.0	328.0	1404.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	1.9	0.6	1.2	2.9	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_1_swedish	6.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	1697.0	1061.0	522.0	3373.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	731.0	489.0	208.0	1178.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	2.1	0.4	1.6	2.5	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_2_swedish	3.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	1521.0	850.0	750.0	2432.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	353.0	160.0	148.0	596.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	2.4	0.5	1.9	3.2	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_1_3_swedish	5.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	1249.0	248.0	925.0	1572.0	NA	NA	NA	nmol/l*hr	incorrect units in table
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	cmax	losartan	plasma	HPLC/FS	NA	NA	713.0	423.0	448.0	1201.0	NA	NA	NA	nmol/l	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	thalf	losartan	plasma	HPLC/FS	NA	NA	2.0	0.6	1.3	2.5	NA	NA	NA	hr	NA
Yasar2002a	cyp2c9_2_2_swedish	3.0	LOS50	auc_inf	losartan	plasma	HPLC/FS	NA	NA	1912.0	438.0	1419.0	2254.0	NA	NA	NA	nmol/l*hr	incorrect units in table
