study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Lo1995	NA	study2	6.0	LOS100PO	recovery	losartan	urine	HPLC/FS	recovery_losartan_LOS100PO	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS100PO	recovery	losartan	urine	HPLC/FS	recovery_losartan_LOS100PO	96.0	hr	4.8	NA	NA	NA	2.1	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS100PO	recovery	exp3174	urine	HPLC/FS	recovery_exp3174_LOS100PO	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS100PO	recovery	exp3174	urine	HPLC/FS	recovery_exp3174_LOS100PO	96.0	hr	7.6	NA	NA	NA	2.6	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS30IV	recovery	losartan	urine	HPLC/FS	recovery_losartan_LOS30IV	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS30IV	recovery	losartan	urine	HPLC/FS	recovery_losartan_LOS30IV	96.0	hr	11.5	NA	NA	NA	3.5	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS30IV	recovery	exp3174	urine	HPLC/FS	recovery_exp3174_LOS30IV	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS30IV	recovery	exp3174	urine	HPLC/FS	recovery_exp3174_LOS30IV	96.0	hr	7.6	NA	NA	NA	2.3	NA	NA	percent	NA
Lo1995	NA	study2	6.0	LOS100PO	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS100PO	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS100PO	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS100PO	96.0	hr	10.412147505423	NA	NA	NA	4.55531453362256	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS100PO	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS100PO	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS100PO	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS100PO	96.0	hr	16.4859002169197	NA	NA	NA	5.63991323210412	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS30IV	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS30IV	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS30IV	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS30IV	96.0	hr	7.48373101952278	NA	NA	NA	2.27765726681128	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS30IV	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS30IV	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Lo1995	NA	study2	6.0	LOS30IV	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS30IV	96.0	hr	4.94577006507592	NA	NA	NA	1.49674620390456	NA	NA	µmole	NA
