,author,keywords,pmc,pmid,prob,pubdate,title
0,L Yang; T Guo; DY Xia; LS Zhao,,,21777404,0.9994627833366394,2012,Pharmacokinetics of losartan and its active carboxylic acid metabolite E-3174 in five ethnic populations of China.
1,CH Moon; HJ Lee; YS Jung; SH Lee; EJ Baik,,,9821211,0.9994612336158752,1998,"Pharmacokinetics of losartan and its metabolite, EXP3174, after intravenous and oral administration of losartan to rats with streptozotocin-induced diabetes mellitus."
2,KM Williamson; JH Patterson; RH McQueen; KF Adams; JA Pieper,,,9542475,0.9992725253105164,1998,Effects of erythromycin or rifampin on losartan pharmacokinetics in healthy volunteers.
3,DJ Kazierad; DE Martin; RA Blum; DM Tenero; B Ilson; SC Boike; R Etheredge; DK Jorkasky,,,9357393,0.9990405440330505,1997,Effect of fluconazole on the pharmacokinetics of eprosartan and losartan in healthy male volunteers.
4,JY Jia; MQ Zhang; YM Liu; Y Liu; GY Liu; SJ Li; C Lu; LP Weng; YL Qi; C Yu,,,20678685,0.9990339279174805,2010,"Pharmacokinetics and bioequivalence evaluation of two losartan potassium 50-mg tablets: A single-dose, randomized-sequence, open-label, two-way crossover study in healthy Chinese male volunteers."
5,G Wang; CQ Xiao; Z Li; D Guo; Y Chen; L Fan; RH Qian; XJ Peng; DL Hu; HH Zhou,,,19458107,0.9989890456199646,2009,Effect of soy extract administration on losartan pharmacokinetics in healthy female volunteers.
6,A Bienert; R Brzezińiski; E Szałek; V Dubai; E Grześkowiak; S Dyderski; L Drobnik; A Wolc; M Olejniczak-Rabinek,,,17220048,0.9989871382713318,2006,Bioequivalence study of two losartan formulations administered orally in healthy male volunteers.
7,DA Sica; MW Lo; WC Shaw; WF Keane; TW Gehr; CE Halstenson; K Lipschutz; CI Furtek; MA Ritter; S Shahinfar,,,18800456,0.9989418387413025,1995,The pharmacokinetics of losartan in renal insufficiency.
8,SH Yang; JS Choi; DH Choi,,,21709429,0.9989319443702698,2011,Effects of HMG-CoA reductase inhibitors on the pharmacokinetics of losartan and its main metabolite EXP-3174 in rats: possible role of CYP3A4 and P-gp inhibition by HMG-CoA reductase inhibitors.
9,DY Yoon; SI Park; JA Jung; YI Kim; IJ Jang; JY Chung,bioequivalence; dyslipidemia; fixed-dose combination; hypertension; loose combination; pharmacokinetics,,32109991,0.9987691044807434,2020,Comparison of Pharmacokinetics of a Fixed-Dose Combination of Amlodipine/Losartan/Rosuvastatin with Concomitant Administration of Amlodipine/Losartan and Rosuvastatin in Healthy Volunteers.
10,SH Yang; YA Cho; JS Choi,,,21666702,0.9987083673477173,2011,Effects of ticlopidine on pharmacokinetics of losartan and its main metabolite EXP-3174 in rats.
11,MW Lo; J Toh; SE Emmert; MA Ritter; CI Furtek; H Lu; WS Colucci; BF Uretsky; E Rucinska,,,9650542,0.9986990690231323,1998,Pharmacokinetics of intravenous and oral losartan in patients with heart failure.
12,MW Lo; MR Goldberg; JB McCrea; H Lu; CI Furtek; TD Bjornsson,,,8529329,0.9986258745193481,1995,"Pharmacokinetics of losartan, an angiotensin II receptor antagonist, and its active metabolite EXP3174 in humans."
