study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments	timeraw
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	0.33734608639051	hr	NA	1.30735711573578	NA	NA	NA	ng/ml	NA	0.33734608639051
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	2.0	hr	NA	58.0314245936319	NA	NA	NA	ng/ml	NA	2.39171171822734
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	4.0	hr	NA	73.6367186793715	NA	NA	NA	ng/ml	NA	4.32136257616576
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	6.0	hr	NA	56.2840508434736	NA	NA	NA	ng/ml	NA	6.44567957039795
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	9.0	hr	NA	33.7849458477227	NA	NA	NA	ng/ml	NA	9.33911439781582
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	12.0	hr	NA	22.6732240041947	NA	NA	NA	ng/ml	NA	12.3747952338763
Azizi1999	NA	all	16.0	CAN16	concentration	candesartan	plasma	RP-HPLC	CAN16_candesartan	24.0	hr	NA	10.7807329994394	NA	NA	NA	ng/ml	NA	24.3740575334044
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	0.33734608639051	hr	NA	1.30735711573578	NA	NA	NA	ng/ml	NA	0.33734608639051
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	2.0	hr	NA	25.3779810873849	NA	NA	NA	ng/ml	NA	2.32838519536405
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	4.0	hr	NA	39.2693149149293	NA	NA	NA	ng/ml	NA	4.33357079574014
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	6.0	hr	NA	27.8634892509085	NA	NA	NA	ng/ml	NA	6.3872131918202
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	9.0	hr	NA	16.651635416855	NA	NA	NA	ng/ml	NA	9.34527636646355
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	12.0	hr	NA	12.3938018695644	NA	NA	NA	ng/ml	NA	12.3113240638617
Azizi1999	NA	all	16.0	CAN8	concentration	candesartan	plasma	RP-HPLC	CAN8_candesartan	24.0	hr	NA	6.74963386189813	NA	NA	NA	ng/ml	NA	24.343594843329
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	0.359743040685224	hr	NA	2.56241787122212	NA	NA	NA	ng/ml	NA	0.359743040685224
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	2.0	hr	NA	76.8725361366622	NA	NA	NA	ng/ml	NA	2.38972162740899
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	4.0	hr	NA	53.2194480946123	NA	NA	NA	ng/ml	NA	4.36830835117772
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	6.0	hr	NA	35.4796320630749	NA	NA	NA	ng/ml	NA	6.39828693790149
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	9.0	hr	NA	15.3745072273325	NA	NA	NA	ng/ml	NA	9.37901498929336
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	12.0	hr	NA	12.023653088042	NA	NA	NA	ng/ml	NA	12.4111349036402
Azizi1999	NA	all	16.0	LOS50	concentration	losartan	plasma	HPLC/UV	LOS50_losartan	24.0	hr	NA	12.2207621550591	NA	NA	NA	ng/ml	NA	24.3340471092077
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	0.334047109207708	hr	NA	2.16819973718787	NA	NA	NA	ng/ml	NA	0.334047109207708
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	2.0	hr	NA	62.4835742444152	NA	NA	NA	ng/ml	NA	2.31263383297644
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	4.0	hr	NA	139.356110381077	NA	NA	NA	ng/ml	NA	4.34261241970021
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	6.0	hr	NA	142.50985545335	NA	NA	NA	ng/ml	NA	6.37259100642398
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	9.0	hr	NA	91.6557161629435	NA	NA	NA	ng/ml	NA	9.35331905781584
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	12.0	hr	NA	58.9356110381077	NA	NA	NA	ng/ml	NA	12.3340471092077
Azizi1999	NA	all	16.0	LOS50	concentration	exp3174	plasma	HPLC/UV	LOS50_exp3174	24.0	hr	NA	22.0762155059132	NA	NA	NA	ng/ml	NA	24.2826552462526
