study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Shin2020	GG/CC	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	0.0	hr	0.0	NA	NA	NA	0.0	NA	nmol/l*hr	.	losartan+exp3174
Shin2020	GG/CC	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	4.0	hr	2726.7	NA	NA	NA	1235.3	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GG/CC	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	6.0	hr	4717.1	NA	NA	NA	1445.1	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GG/CC	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	8.0	hr	6055.2	NA	NA	NA	1507.8	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GG/CC	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	10.0	hr	6958.8	NA	NA	NA	1570.8	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GG/CC	13.0	LOS50	auc_inf	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	NA	NA	9475.3	NA	NA	NA	1923.5	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	0.0	hr	0.0	NA	NA	NA	0.0	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	4.0	hr	3478.6	NA	NA	NA	1052.4	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	6.0	hr	5446.3	NA	NA	NA	1330.0	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	8.0	hr	6749.5	NA	NA	NA	1446.0	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	10.0	hr	7616.8	NA	NA	NA	1496.2	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	GT/CT	13.0	LOS50	auc_inf	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	NA	NA	10031.5	NA	NA	NA	1561.8	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	0.0	hr	0.0	NA	NA	NA	0.0	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	4.0	hr	5064.4	NA	NA	NA	1185.6	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	6.0	hr	6848.4	NA	NA	NA	1289.5	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	8.0	hr	7906.5	NA	NA	NA	1364.8	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc measurement	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	10.0	hr	8589.3	NA	NA	NA	1414.1	NA	nmol/l*hr	NA	losartan+exp3174
Shin2020	TT/TT	13.0	LOS50	auc_inf	losartan/exp3174	plasma	HPLC/FS	losartan_GG_CC	NA	NA	10403.0	NA	NA	NA	1683.1	NA	nmol/l*hr	NA	losartan+exp3174
