study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	0.0	hr	115.0	4.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	6.0	hr	109.0	7.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	24.0	hr	110.0	4.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	30.0	hr	111.0	12.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	48.0	hr	115.0	5.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	54.0	hr	112.0	3.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	72.0	hr	117.0	1.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	78.0	hr	119.0	7.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	96.0	hr	112.0	16.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	102.0	hr	111.0	7.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	120.0	hr	116.0	6.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	126.0	hr	113.0	10.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	144.0	hr	108.0	11.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	150.0	hr	114.0	14.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	168.0	hr	107.0	8.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	174.0	hr	107.0	8.0							mmHg	mmHg
Ohtawa1993	multiple_dose_placebo	3.0	Placebo	blood pressure systolic	sbp_0_multi			sphygmomanometer	192.0	hr	109.0	2.0							mmHg	mmHg
