study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	0.0	hr	112.0	7.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	0.5	hr	112.0	3.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	1.0	hr	112.0	5.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	2.0	hr	109.0	6.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	3.0	hr	104.0	3.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	4.0	hr	109.0	5.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	6.0	hr	110.0	7.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	8.0	hr	108.0	5.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	10.0	hr	112.0	6.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	12.0	hr	112.0	6.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	14.0	hr	113.0	6.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	24.0	hr	112.0	5.0							mmHg	mmHg
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25			sphygmomanometer	30.0	hr	118.0	9.0							mmHg	mmHg
