study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	0.0	hr	58.0	6.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	0.5	hr	60.0	6.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	1.0	hr	59.0	5.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	2.0	hr	59.0	6.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	3.0	hr	57.0	4.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	4.0	hr	59.0	7.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	6.0	hr	67.0	4.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	8.0	hr	66.0	4.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	10.0	hr	62.0	5.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	12.0	hr	69.0	8.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	14.0	hr	65.0	5.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	24.0	hr	62.0	6.0							1/s	1/s
Ohtawa1993	single_dose_100	6.0	LOS100	heart rate	hr_100			NR	30.0	hr	71.0	3.0							1/s	1/s
