study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	0.0	hr	117.0	18.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	0.0	hr	71.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	6.0	hr	107.0	17.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	6.0	hr	57.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	24.0	hr	111.0	13.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	24.0	hr	62.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	30.0	hr	105.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	30.0	hr	57.0	11.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	48.0	hr	114.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	48.0	hr	64.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	54.0	hr	108.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	54.0	hr	59.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	72.0	hr	113.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	72.0	hr	64.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	78.0	hr	112.0	17.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	78.0	hr	63.0	19.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	96.0	hr	111.0	13.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	96.0	hr	63.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	102.0	hr	108.0	17.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	102.0	hr	60.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	120.0	hr	114.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	120.0	hr	63.0	10.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	126.0	hr	110.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	126.0	hr	59.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	144.0	hr	107.0	19.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	144.0	hr	63.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	150.0	hr	103.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	150.0	hr	54.0	11.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	168.0	hr	107.0	15.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	168.0	hr	62.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	174.0	hr	108.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	174.0	hr	60.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi	NA	NA	sphygmomanometer	192.0	hr	112.0	16.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure diastolic	dbp_100_multi	NA	NA	sphygmomanometer	192.0	hr	66.0	14.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	0.0	hr	60.0	7.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	6.0	hr	66.0	7.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	24.0	hr	70.0	9.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	30.0	hr	73.0	9.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	48.0	hr	70.0	7.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	54.0	hr	74.0	7.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	72.0	hr	74.0	5.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	78.0	hr	73.0	8.0	NA	NA	NA	NA	NA	1/s	NA
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	heart rate	hr_100_multi	NA	NA	NR	96.0	hr	72.0	7.0	NA	NA	NA	NA	NA	1/s	NA
