study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	single_dose_25	6.0	LOS25	cmax	losartan	plasma	HPLC	NA	NA	34.5	40.9	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_25	6.0	LOS25	tmax	losartan	plasma	HPLC	NA	NA	0.8	0.3	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	auc_inf	losartan	plasma	HPLC	NA	NA	201.3	79.6	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	thalf	losartan	plasma	HPLC	NA	NA	2.48	1.54	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	recovery	losartan	plasma	HPLC	24.0	hr	3.6	0.9	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_25	6.0	LOS25	clearance_renal	losartan	plasma	HPLC	24.0	hr	6.5	2.5	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	cmax	exp3174	plasma	HPLC	NA	NA	188.9	47.3	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_25	6.0	LOS25	tmax	exp3174	plasma	HPLC	NA	NA	3.7	0.5	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	auc_inf	exp3174	plasma	HPLC	NA	NA	1348.9	203.6	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	thalf	exp3174	plasma	HPLC	NA	NA	3.8	0.5	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	recovery	exp3174	urine	HPLC	24.0	hr	7.9	1.7	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_25	6.0	LOS25	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.8	0.3	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	cmax	losartan	plasma	HPLC	NA	NA	197.6	108.5	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_50	6.0	LOS50	tmax	losartan	plasma	HPLC	NA	NA	1.3	0.9	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	auc_inf	losartan	plasma	HPLC	NA	NA	354.2	128.8	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	thalf	losartan	plasma	HPLC	NA	NA	1.69	0.75	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	recovery	losartan	urine	HPLC	24.0	hr	3.2	0.9	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_50	6.0	LOS50	clearance_renal	losartan	plasma	HPLC	24.0	hr	5.6	2.2	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	cmax	exp3174	plasma	HPLC	NA	NA	462.5	161.0	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_50	6.0	LOS50	tmax	exp3174	plasma	HPLC	NA	NA	3.0	0.6	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	auc_inf	exp3174	plasma	HPLC	NA	NA	2653.3	656.0	NA	NA	NA	NA	NA	ng/ml*hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	thalf	exp3174	plasma	HPLC	NA	NA	3.75	0.7	NA	NA	NA	NA	NA	hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	recovery	exp3174	urine	HPLC	24.0	hr	6.9	1.6	NA	NA	NA	NA	NA	percent	NA
Ohtawa1993	single_dose_50	6.0	LOS50	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.5	0.5	NA	NA	NA	NA	NA	l/hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	cmax	losartan	plasma	HPLC	NA	NA	800.5	330.9	NA	NA	NA	NA	NA	ng/ml	NA
Ohtawa1993	single_dose_100	6.0	LOS100	tmax	losartan	plasma	HPLC	NA	NA	0.7	0.3	NA	NA	NA	NA	NA	hr	NA
