study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	0.0	hr	112.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	0.5	hr	112.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	1.0	hr	112.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	2.0	hr	109.0	6.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	3.0	hr	104.0	3.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	4.0	hr	109.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	6.0	hr	110.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	8.0	hr	108.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	10.0	hr	112.0	6.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	12.0	hr	112.0	6.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	14.0	hr	113.0	6.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	24.0	hr	112.0	5.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_25	6.0	LOS25	blood pressure systolic	sbp_25	NA	NA	sphygmomanometer	30.0	hr	118.0	9.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	0.0	hr	115.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	0.5	hr	113.0	8.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	1.0	hr	112.0	12.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	2.0	hr	112.0	2.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	3.0	hr	107.0	8.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	4.0	hr	110.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
Ohtawa1993	single_dose_50	6.0	LOS50	blood pressure systolic	sbp_50	NA	NA	sphygmomanometer	6.0	hr	106.0	7.0	NA	NA	NA	NA	NA	mmHg	NA
