study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	cmax	losartan	plasma	HPLC	NA	NA	639.8	251.7	NA	NA	NA	NA	NA	ng/ml	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	tmax	losartan	plasma	HPLC	NA	NA	0.8	0.3	NA	NA	NA	NA	NA	hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	auc_inf	losartan	plasma	HPLC	NA	NA	995.3	232.1	NA	NA	NA	NA	NA	ng/ml*hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	auc_end	losartan	plasma	HPLC	24.0	hr	952.6	234.7	NA	NA	NA	NA	NA	ng/ml*hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	thalf	losartan	plasma	HPLC	NA	NA	2.27	0.85	NA	NA	NA	NA	NA	hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	recovery	losartan	urine	HPLC	24.0	hr	4.7	1.5	NA	NA	NA	NA	NA	percent	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	clearance_renal	losartan	plasma	HPLC	24.0	hr	4.9	1.0	NA	NA	NA	NA	NA	l/hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	cmax	exp3174	plasma	HPLC	NA	NA	1227.7	400.3	NA	NA	NA	NA	NA	ng/ml	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	tmax	exp3174	plasma	HPLC	NA	NA	2.3	0.5	NA	NA	NA	NA	NA	hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	auc_inf	exp3174	plasma	HPLC	NA	NA	5706.5	1580.6	NA	NA	NA	NA	NA	ng/ml*hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	auc_end	exp3174	plasma	HPLC	24.0	hr	5535.8	1591.2	NA	NA	NA	NA	NA	ng/ml*hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	thalf	exp3174	plasma	HPLC	NA	NA	4.54	0.99	NA	NA	NA	NA	NA	hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	recovery	exp3174	urine	HPLC	24.0	hr	6.5	1.8	NA	NA	NA	NA	NA	percent	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.2	0.3	NA	NA	NA	NA	NA	l/hr	day 1
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	cmax	losartan	plasma	HPLC	NA	NA	655.0	381.4	NA	NA	NA	NA	NA	ng/ml	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	tmax	losartan	plasma	HPLC	NA	NA	0.8	0.3	NA	NA	NA	NA	NA	hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	auc_inf	losartan	plasma	HPLC	NA	NA	806.1	207.9	NA	NA	NA	NA	NA	ng/ml*hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	auc_end	losartan	plasma	HPLC	24.0	hr	773.9	202.4	NA	NA	NA	NA	NA	ng/ml*hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	thalf	losartan	plasma	HPLC	NA	NA	1.62	0.8	NA	NA	NA	NA	NA	hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	recovery	losartan	urine	HPLC	24.0	hr	3.9	0.9	NA	NA	NA	NA	NA	percent	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	clearance_renal	losartan	plasma	HPLC	24.0	hr	5.0	0.6	NA	NA	NA	NA	NA	l/hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	cmax	exp3174	plasma	HPLC	NA	NA	1074.3	344.8	NA	NA	NA	NA	NA	ng/ml	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	tmax	exp3174	plasma	HPLC	NA	NA	2.3	0.5	NA	NA	NA	NA	NA	hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	auc_inf	exp3174	plasma	HPLC	NA	NA	5508.8	1444.4	NA	NA	NA	NA	NA	ng/ml*hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	auc_end	exp3174	plasma	HPLC	24.0	hr	5290.7	1443.3	NA	NA	NA	NA	NA	ng/ml*hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	thalf	exp3174	plasma	HPLC	NA	NA	4.99	0.98	NA	NA	NA	NA	NA	hr	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	recovery	exp3174	urine	HPLC	24.0	hr	6.1	1.7	NA	NA	NA	NA	NA	percent	day 7
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	clearance_renal	exp3174	plasma	HPLC	24.0	hr	1.2	0.3	NA	NA	NA	NA	NA	l/hr	day 7
