study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	mean_pm	sd	median	min	max	se	cv	unit	comments
Ohtawa1993	single_dose_25	6.0	LOS25	renin activity	renin	plasma	RIA	pra_25	0.0	hr	1.59247742671508	2.57931953197824	0.98684210526316	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	renin activity	renin	plasma	RIA	pra_25	6.0	hr	15.3440078189128	23.3483937838251	8.0043859649123	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_25	6.0	LOS25	renin activity	renin	plasma	RIA	pra_25	24.0	hr	2.342717420037	3.32955952530016	0.98684210526316	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	renin activity	renin	plasma	RIA	pra_50	0.0	hr	1.4471771220279	2.87261571851913	1.42543859649123	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	renin activity	renin	plasma	RIA	pra_50	6.0	hr	22.8741461107169	38.5539706721204	15.6798245614035	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_50	6.0	LOS50	renin activity	renin	plasma	RIA	pra_50	24.0	hr	6.03409296436968	11.1876017362995	5.15350877192982	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	renin activity	renin	plasma	RIA	pra_100	0.0	hr	0.861715152274023	1.40996076630911	0.548245614035087	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	renin activity	renin	plasma	RIA	pra_100	6.0	hr	19.1099030287852	29.855517063873	10.7456140350878	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_100	6.0	LOS100	renin activity	renin	plasma	RIA	pra_100	24.0	hr	6.65633651933163	12.6870382737175	6.03070175438587	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	renin activity	renin	plasma	RIA	pra_200	0.0	hr	1.04744911445941	1.92464209691556	0.87719298245615	NA	NA	NA	NA	NA	ng/ml/hr	NA
Ohtawa1993	single_dose_200	6.0	LOS200	renin activity	renin	plasma	RIA	pra_200	6.0	hr	28.8340672259554	40.8954707347273	12.0614035087719	NA	NA	NA	NA	NA	ng/ml/hr	NA
