study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Fischer2002	NA	all	13.0	LOS50	amount	losartan	urine	HPLC/FS	NA	NA	1.3	0.5	NA	NA	NA	NA	NA	mg	NA
Fischer2002	NA	all	13.0	LOS50	recovery	losartan	urine	HPLC/FS	24.0	hr	2.6	1.0	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	clearance_renal	losartan	urine	HPLC/FS	NA	NA	1.2	0.6	NA	NA	NA	NA	NA	ml/min/kg	NA
Fischer2002	NA	all	13.0	LOS50	amount	exp3174	urine	HPLC/FS	NA	NA	2.2	0.4	NA	NA	NA	NA	NA	mg	NA
Fischer2002	NA	all	13.0	LOS50	recovery	exp3174	urine	HPLC/FS	24.0	hr	4.4	0.8	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	clearance_renal	exp3174	urine	HPLC/FS	NA	NA	0.42	0.09	NA	NA	NA	NA	NA	ml/min/kg	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	amount	losartan	urine	HPLC/FS	NA	NA	1.9	0.4	NA	NA	NA	NA	NA	mg	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	losartan	urine	HPLC/FS	24.0	hr	3.8	0.8	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	clearance_renal	losartan	urine	HPLC/FS	NA	NA	1.1	0.3	NA	NA	NA	NA	NA	ml/min/kg	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	amount	exp3174	urine	HPLC/FS	NA	NA	0.9	0.5	NA	NA	NA	NA	NA	mg	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	exp3174	urine	HPLC/FS	24.0	hr	1.9	1.2	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	clearance_renal	exp3174	urine	HPLC/FS	NA	NA	0.49	0.2	NA	NA	NA	NA	NA	ml/min/kg	NA
