study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	median	min	max	se	cv	unit	comments
Fischer2002	NA	all	13.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_urine_LOS50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	recovery	losartan	urine	HPLC/FS	losartan_recovery_urine_LOS50	24.0	hr	2.6	1.0	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	recovery	exp3174	urine	HPLC/FS	exp3174_recovery_urine_LOS50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	recovery	exp3174	urine	HPLC/FS	exp3174_recovery_urine_LOS50	24.0	hr	4.4	0.8	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	losartan	urine	HPLC/FS	losartan_recovery_urine_LOS50_PHE4	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	losartan	urine	HPLC/FS	losartan_recovery_urine_LOS50_PHE4	24.0	hr	3.8	0.8	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	exp3174	urine	HPLC/FS	exp3174_recovery_urine_LOS50_PHE4	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	recovery	exp3174	urine	HPLC/FS	exp3174_recovery_urine_LOS50_PHE4	24.0	hr	1.9	1.2	NA	NA	NA	NA	NA	percent	NA
Fischer2002	NA	all	13.0	LOS50	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS50	24.0	hr	2.81995661605206	1.08459869848156	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS50	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS50	24.0	hr	4.77223427331887	0.86767895878525	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS50_PHE4	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	cumulative amount	losartan	urine	HPLC/FS	losartan_urine_LOS50_PHE4	24.0	hr	4.12147505422993	0.86767895878525	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS50_PHE4	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	µmole	NA
Fischer2002	NA	all	13.0	LOS50, PHE4	cumulative amount	exp3174	urine	HPLC/FS	exp3174_urine_LOS50_PHE4	24.0	hr	2.06073752711497	1.30151843817787	NA	NA	NA	NA	NA	µmole	NA
