study	group	count	intervention	measurement_type	label	substance	tissue	method	time	time_unit	mean	mean_sd	median	min	max	mean_se	cv	comments	mean_unit	median_unit
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	0.0	hr	117.0	18.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	6.0	hr	107.0	17.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	24.0	hr	111.0	13.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	30.0	hr	105.0	12.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	48.0	hr	114.0	14.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	54.0	hr	108.0	9.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	72.0	hr	113.0	12.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	78.0	hr	112.0	17.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	96.0	hr	111.0	13.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	102.0	hr	108.0	17.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	120.0	hr	114.0	16.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	126.0	hr	110.0	16.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	144.0	hr	107.0	19.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	150.0	hr	103.0	14.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	168.0	hr	107.0	15.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	174.0	hr	108.0	14.0							mmHg	mmHg
Ohtawa1993	multiple_dose_losartan	6.0	LOS100M	blood pressure systolic	sbp_100_multi			sphygmomanometer	192.0	hr	112.0	16.0							mmHg	mmHg
