study	count	group	intervention	label	measurement	substance	tissue	geomean	min	max	unit	time	time_unit	method	comments
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_auc_end	auc_end	melatonin	plasma	7.93	1.48	29.3	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_cmax	cmax	melatonin	plasma	3.74	0.91	10.8	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_tmax	tmax	melatonin	plasma	1.0	1.0	4.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_clearance	clearance	melatonin	plasma	1.55	0.49	4.9	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_vd	vd	melatonin	plasma	3.48	1.01	14.5	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_auc_end	auc_end	melatonin	plasma	2.18	0.31	7.07	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_cmax	cmax	melatonin	plasma	1.37	0.18	4.64	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_tmax	tmax	melatonin	plasma	1.0	NA	NA	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_clearance	clearance	melatonin	plasma	10.2	4.09	25.2	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_vd	vd	melatonin	plasma	12.3	3.95	62.2	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_auc_end	auc_end	melatonin	plasma	9.34	4.36	24.8	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_cmax	cmax	melatonin	plasma	3.62	1.45	11.3	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_tmax	tmax	melatonin	plasma	1.0	1.0	2.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_clearance	clearance	melatonin	plasma	3.06	1.62	5.79	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_melatonin_vd	vd	melatonin	plasma	5.14	2.75	14.7	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_auc_end	auc_end	bupropion	plasma	67.9	50.7	101.0	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_cmax	cmax	bupropion	plasma	21.0	14.9	30.2	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_tmax	tmax	bupropion	plasma	2.0	1.0	4.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_clearance	clearance	bupropion	plasma	3.24	2.22	4.72	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_vd	vd	bupropion	plasma	13.3	8.74	16.7	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_auc_end	auc_end	bupropion	plasma	36.4	20.3	76.9	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_cmax	cmax	bupropion	plasma	12.5	8.03	22.1	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_tmax	tmax	bupropion	plasma	1.0	1.0	2.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_clearance	clearance	bupropion	plasma	9.59	7.35	12.5	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_vd	vd	bupropion	plasma	27.3	17.8	47.2	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_auc_end	auc_end	bupropion	plasma	68.1	43.2	81.6	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_cmax	cmax	bupropion	plasma	19.0	13.9	25.9	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_tmax	tmax	bupropion	plasma	3.0	2.0	4.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_clearance	clearance	bupropion	plasma	4.82	3.11	7.46	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_bupropion_vd	vd	bupropion	plasma	21.8	18.5	31.7	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_auc_end	auc_end	repaglinide	plasma	5.58	2.29	13.4	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_cmax	cmax	repaglinide	plasma	2.77	1.4	6.75	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_tmax	tmax	repaglinide	plasma	1.0	NA	NA	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_clearance	clearance	repaglinide	plasma	0.28	0.17	0.47	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_vd	vd	repaglinide	plasma	0.94	0.33	5.47	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_auc_end	auc_end	repaglinide	plasma	2.43	1.57	3.71	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_cmax	cmax	repaglinide	plasma	1.39	0.81	2.42	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_tmax	tmax	repaglinide	plasma	1.0	1.0	2.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_clearance	clearance	repaglinide	plasma	1.08	0.83	1.41	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	7	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_vd	vd	repaglinide	plasma	2.21	1.51	3.9	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_auc_end	auc_end	repaglinide	plasma	4.29	2.06	5.94	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_cmax	cmax	repaglinide	plasma	1.75	1.13	3.01	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_tmax	tmax	repaglinide	plasma	1.0	1.0	2.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_clearance	clearance	repaglinide	plasma	0.67	0.53	0.85	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	6	healthy	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_repaglinide_vd	vd	repaglinide	plasma	1.88	0.69	5.95	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	8	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _auc_end	auc_end	losartan 	plasma	47.0	13.5	86.2	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	8	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _cmax	cmax	losartan 	plasma	12.4	4.09	29.5	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	8	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _tmax	tmax	losartan 	plasma	2.0	1.0	6.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	8	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _clearance	clearance	losartan 	plasma	0.83	0.43	1.59	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	8	obese	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _vd	vd	losartan 	plasma	7.09	2.81	26.3	l/kg	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _auc_end	auc_end	losartan 	plasma	49.4	24.9	88.9	hr*ng/ml	6.0	hr	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _cmax	cmax	losartan 	plasma	13.3	7.12	24.3	ng/ml	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _tmax	tmax	losartan 	plasma	1.0	1.0	4.0	hr	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _clearance	clearance	losartan 	plasma	1.88	0.94	3.79	l/h/kg	NA	NA	HPLC MS/MS	NA
Puris2019	8	one_year_after	MEL, NIC, BUP, REP, LOS, OME,CZX, MID, DEX	Tab3_losartan _vd	vd	losartan 	plasma	8.11	4.64	15.7	l/kg	NA	NA	HPLC MS/MS	NA
